ID_Projet,Client,Description,Statut,Date_Début,Jours_écoulés,Etat,Inactivité,Action_suggérée,Type_Action,Email
PRJ-0073,Client_74,Projet de service 73,En cours,2025-01-03,237,En traitement,Non,Relancer le client,Urgente,client_74@gmail.com
PRJ-0074,Client_75,Projet de service 74,Finalisé,2025-01-06,234,Terminé,Non,Aucune action,Aucune,client_75@gmail.com
PRJ-0075,Client_76,Projet de service 75,En attente,2025-01-09,231,En traitement,Non,Relancer le client,Urgente,client_76@gmail.com
PRJ-0076,Client_77,Projet de service 76,Suspendu,2025-01-12,228,En traitement,Non,Relancer le client,Urgente,client_77@gmail.com
PRJ-0077,Client_78,Projet de service 77,En cours,2025-01-15,225,En traitement,Non,Relancer le client,Urgente,client_78@gmail.com
PRJ-0078,Client_79,Projet de service 78,Finalisé,2025-01-18,222,Terminé,Non,Aucune action,Aucune,client_79@gmail.com
PRJ-0079,Client_80,Projet de service 79,En attente,2025-01-21,219,En traitement,Non,Relancer le client,Urgente,client_80@gmail.com
PRJ-0080,Client_81,Projet de service 80,Suspendu,2025-01-24,216,En traitement,Non,Relancer le client,Urgente,client_81@gmail.com
PRJ-0081,Client_82,Projet de service 81,En cours,2025-01-27,213,En traitement,Non,Relancer le client,Urgente,client_82@gmail.com
PRJ-0082,Client_83,Projet de service 82,Finalisé,2025-01-30,210,Terminé,Non,Aucune action,Aucune,client_83@gmail.com
PRJ-0083,Client_84,Projet de service 83,En attente,2025-02-02,207,En traitement,Non,Relancer le client,Urgente,client_84@gmail.com
PRJ-0084,Client_85,Projet de service 84,Suspendu,2025-02-05,204,En traitement,Non,Relancer le client,Urgente,client_85@gmail.com
PRJ-0085,Client_86,Projet de service 85,En cours,2025-02-08,201,En traitement,Non,Relancer le client,Urgente,client_86@gmail.com
PRJ-0086,Client_87,Projet de service 86,Finalisé,2025-02-11,198,Terminé,Non,Aucune action,Aucune,client_87@gmail.com
PRJ-0087,Client_88,Projet de service 87,En attente,2025-02-14,195,En traitement,Non,Relancer le client,Urgente,client_88@gmail.com
PRJ-0088,Client_89,Projet de service 88,Suspendu,2025-02-17,192,En traitement,Non,Relancer le client,Urgente,client_89@gmail.com
PRJ-0089,Client_90,Projet de service 89,En cours,2025-02-20,189,En traitement,Non,Relancer le client,Urgente,client_90@gmail.com
PRJ-0090,Client_91,Projet de service 90,Finalisé,2025-02-23,186,Terminé,Non,Aucune action,Aucune,client_91@gmail.com
PRJ-0091,Client_92,Projet de service 91,En attente,2025-02-26,183,En traitement,Non,Relancer le client,Urgente,client_92@gmail.com
PRJ-0092,Client_93,Projet de service 92,Suspendu,2025-03-01,180,En traitement,Non,Relancer le client,Urgente,client_93@gmail.com
PRJ-0093,Client_94,Projet de service 93,En cours,2025-03-04,177,En traitement,Non,Relancer le client,Urgente,client_94@gmail.com
PRJ-0094,Client_95,Projet de service 94,Finalisé,2025-03-07,174,Terminé,Non,Aucune action,Aucune,client_95@gmail.com
PRJ-0095,Client_96,Projet de service 95,En attente,2025-03-10,171,En traitement,Non,Relancer le client,Urgente,client_96@gmail.com
PRJ-0096,Client_97,Projet de service 96,Suspendu,2025-03-13,168,En traitement,Non,Relancer le client,Urgente,client_97@gmail.com
PRJ-0097,Client_98,Projet de service 97,En cours,2025-03-16,165,En traitement,Non,Relancer le client,Urgente,client_98@gmail.com
PRJ-0098,Client_99,Projet de service 98,Finalisé,2025-03-19,162,Terminé,Non,Aucune action,Aucune,client_99@gmail.com
PRJ-0099,Client_100,Projet de service 99,En attente,2025-03-22,159,En traitement,Non,Relancer le client,Urgente,client_100@gmail.com
PRJ-0100,Client_101,Projet de service 100,Suspendu,2025-03-25,156,En traitement,Non,Relancer le client,Urgente,client_101@gmail.com
PRJ-0101,Client_102,Projet de service 101,En cours,2025-03-28,153,En traitement,Non,Relancer le client,Urgente,client_102@gmail.com
PRJ-0102,Client_103,Projet de service 102,Finalisé,2025-03-31,150,Terminé,Non,Aucune action,Aucune,client_103@gmail.com
PRJ-0103,Client_104,Projet de service 103,En attente,2025-04-03,147,En traitement,Non,Relancer le client,Urgente,client_104@gmail.com
PRJ-0104,Client_105,Projet de service 104,Suspendu,2025-04-06,144,En traitement,Non,Relancer le client,Urgente,client_105@gmail.com
PRJ-0105,Client_106,Projet de service 105,En cours,2025-04-09,141,En traitement,Non,Relancer le client,Urgente,client_106@gmail.com
PRJ-0106,Client_107,Projet de service 106,Finalisé,2025-04-12,138,Terminé,Non,Aucune action,Aucune,client_107@gmail.com
PRJ-0107,Client_108,Projet de service 107,En attente,2025-04-15,135,En traitement,Non,Relancer le client,Urgente,client_108@gmail.com
PRJ-0108,Client_109,Projet de service 108,Suspendu,2025-04-18,132,En traitement,Non,Relancer le client,Urgente,client_109@gmail.com
PRJ-0109,Client_110,Projet de service 109,En cours,2025-04-21,129,En traitement,Non,Relancer le client,Urgente,client_110@gmail.com
PRJ-0110,Client_111,Projet de service 110,Finalisé,2025-04-24,126,Terminé,Non,Aucune action,Aucune,client_111@gmail.com
PRJ-0111,Client_112,Projet de service 111,En attente,2025-04-27,123,En traitement,Non,Relancer le client,Urgente,client_112@gmail.com
PRJ-0112,Client_113,Projet de service 112,Suspendu,2025-04-30,120,En traitement,Non,Relancer le client,Urgente,client_113@gmail.com
PRJ-0113,Client_114,Projet de service 113,En cours,2025-05-03,117,En traitement,Non,Relancer le client,Urgente,client_114@gmail.com
PRJ-0114,Client_115,Projet de service 114,Finalisé,2025-05-06,114,Terminé,Non,Aucune action,Aucune,client_115@gmail.com
PRJ-0115,Client_116,Projet de service 115,En attente,2025-05-09,111,En traitement,Non,Relancer le client,Urgente,client_116@gmail.com
PRJ-0116,Client_117,Projet de service 116,Suspendu,2025-05-12,108,En traitement,Non,Relancer le client,Urgente,client_117@gmail.com
PRJ-0117,Client_118,Projet de service 117,En cours,2025-05-15,105,En traitement,Non,Relancer le client,Urgente,client_118@gmail.com
PRJ-0118,Client_119,Projet de service 118,Finalisé,2025-05-18,102,Terminé,Non,Aucune action,Aucune,client_119@gmail.com
PRJ-0119,Client_120,Projet de service 119,En attente,2025-05-21,99,En traitement,Non,Relancer le client,Urgente,client_120@gmail.com
PRJ-0120,Client_121,Projet de service 120,Suspendu,2025-05-24,96,En traitement,Non,Relancer le client,Urgente,client_121@gmail.com
PRJ-0121,Client_122,Projet de service 121,En cours,2025-05-27,93,En traitement,Non,Relancer le client,Urgente,client_122@gmail.com
PRJ-0122,Client_123,Projet de service 122,Finalisé,2025-05-30,90,Terminé,Non,Aucune action,Aucune,client_123@gmail.com
PRJ-0123,Client_124,Projet de service 123,En attente,2025-06-02,87,En traitement,Non,Relancer le client,Urgente,client_124@gmail.com
PRJ-0124,Client_125,Projet de service 124,Suspendu,2025-06-05,84,En traitement,Non,Relancer le client,Urgente,client_125@gmail.com
PRJ-0125,Client_126,Projet de service 125,En cours,2025-06-08,81,En traitement,Non,Relancer le client,Urgente,client_126@gmail.com
PRJ-0126,Client_127,Projet de service 126,Finalisé,2025-06-11,78,Terminé,Non,Aucune action,Aucune,client_127@gmail.com
PRJ-0127,Client_128,Projet de service 127,En attente,2025-06-14,75,En traitement,Non,Relancer le client,Urgente,client_128@gmail.com
PRJ-0128,Client_129,Projet de service 128,Suspendu,2025-06-17,72,En traitement,Non,Relancer le client,Urgente,client_129@gmail.com
PRJ-0129,Client_130,Projet de service 129,En cours,2025-06-20,69,En traitement,Non,Relancer le client,Urgente,client_130@gmail.com
PRJ-0130,Client_131,Projet de service 130,Finalisé,2025-06-23,66,Terminé,Non,Aucune action,Aucune,client_131@gmail.com
PRJ-0131,Client_132,Projet de service 131,En attente,2025-06-26,63,En traitement,Non,Relancer le client,Urgente,client_132@gmail.com
PRJ-0132,Client_133,Projet de service 132,Suspendu,2025-06-29,60,En traitement,Non,Relancer le client,Urgente,client_133@gmail.com
PRJ-0133,Client_134,Projet de service 133,En cours,2025-07-02,57,En traitement,Non,Relancer le client,Urgente,client_134@gmail.com
PRJ-0134,Client_135,Projet de service 134,Finalisé,2025-07-05,54,Terminé,Non,Aucune action,Aucune,client_135@gmail.com
PRJ-0135,Client_136,Projet de service 135,En attente,2025-07-08,51,En traitement,Non,Relancer le client,Urgente,client_136@gmail.com
PRJ-0136,Client_137,Projet de service 136,Suspendu,2025-07-11,48,En traitement,Non,Relancer le client,Urgente,client_137@gmail.com
PRJ-0137,Client_138,Projet de service 137,En cours,2025-07-14,45,En traitement,Non,Relancer le client,Urgente,client_138@gmail.com
PRJ-0138,Client_139,Projet de service 138,Finalisé,2025-07-17,42,Terminé,Non,Aucune action,Aucune,client_139@gmail.com
PRJ-0139,Client_140,Projet de service 139,En attente,2025-07-20,39,En traitement,Non,Relancer le client,Urgente,client_140@gmail.com
PRJ-0140,Client_141,Projet de service 140,Suspendu,2025-07-23,36,En traitement,Non,Relancer le client,Urgente,client_141@gmail.com
PRJ-0141,Client_142,Projet de service 141,En cours,2025-07-26,33,En traitement,Non,Relancer le client,Urgente,client_142@gmail.com
PRJ-0142,Client_143,Projet de service 142,Finalisé,2025-07-29,30,Terminé,Non,Aucune action,Aucune,client_143@gmail.com
PRJ-0143,Client_144,Projet de service 143,En attente,2025-08-01,27,En traitement,Non,Suivi en cours,Normale,client_144@gmail.com
PRJ-0144,Client_145,Projet de service 144,Suspendu,2025-08-04,24,En traitement,Non,Suivi en cours,Normale,client_145@gmail.com
PRJ-0145,Client_146,Projet de service 145,En cours,2025-08-07,21,En traitement,Non,Suivi en cours,Normale,client_146@gmail.com
PRJ-0146,Client_147,Projet de service 146,Finalisé,2025-08-10,18,Terminé,Non,Aucune action,Aucune,client_147@gmail.com
PRJ-0147,Client_148,Projet de service 147,En attente,2025-08-13,15,En traitement,Non,Attente de réponse client,Faible,client_148@gmail.com
PRJ-0148,Client_149,Projet de service 148,Suspendu,2025-08-16,12,En traitement,Non,Attente de réponse client,Faible,client_149@gmail.com
PRJ-0149,Client_150,Projet de service 149,En cours,2025-08-19,9,En traitement,Non,Attente de réponse client,Faible,client_150@gmail.com
PRJ-0150,Client_151,Projet de service 150,Finalisé,2025-08-22,6,Terminé,Non,Aucune action,Aucune,client_151@gmail.com
PRJ-0151,Client_152,Projet de service 151,En attente,2025-08-25,3,En traitement,Non,Attente de réponse client,Faible,client_152@gmail.com
PRJ-0152,Client_153,Projet de service 152,Suspendu,2025-08-28,0,En traitement,Non,Attente de réponse client,Faible,client_153@gmail.com
PRJ-0153,Client_154,Projet de service 153,En cours,2025-08-31,-3,Pas encore débuté,Non,Attente de réponse client,Faible,client_154@gmail.com
PRJ-0154,Client_155,Projet de service 154,Finalisé,2025-09-03,-6,Terminé,Non,Aucune action,Aucune,client_155@gmail.com
PRJ-0155,Client_156,Projet de service 155,En attente,2025-09-06,-9,Pas encore débuté,Non,Attente de réponse client,Faible,client_156@gmail.com
PRJ-0156,Client_157,Projet de service 156,Suspendu,2025-09-09,-12,Pas encore débuté,Non,Attente de réponse client,Faible,client_157@gmail.com
PRJ-0157,Client_158,Projet de service 157,En cours,2025-09-12,-15,Pas encore débuté,Non,Attente de réponse client,Faible,client_158@gmail.com
PRJ-0158,Client_159,Projet de service 158,Finalisé,2025-09-15,-18,Terminé,Non,Aucune action,Aucune,client_159@gmail.com
PRJ-0159,Client_160,Projet de service 159,En attente,2025-09-18,-21,Pas encore débuté,Non,Attente de réponse client,Faible,client_160@gmail.com
PRJ-0160,Client_161,Projet de service 160,Suspendu,2025-09-21,-24,Pas encore débuté,Non,Attente de réponse client,Faible,client_161@gmail.com
PRJ-0161,Client_162,Projet de service 161,En cours,2025-09-24,-27,Pas encore débuté,Non,Attente de réponse client,Faible,client_162@gmail.com
PRJ-0162,Client_163,Projet de service 162,Finalisé,2025-09-27,-30,Terminé,Non,Aucune action,Aucune,client_163@gmail.com
PRJ-0163,Client_164,Projet de service 163,En attente,2025-09-30,-33,Pas encore débuté,Non,Attente de réponse client,Faible,client_164@gmail.com
PRJ-0164,Client_165,Projet de service 164,Suspendu,2025-10-03,-36,Pas encore débuté,Non,Attente de réponse client,Faible,client_165@gmail.com
PRJ-0165,Client_166,Projet de service 165,En cours,2025-10-06,-39,Pas encore débuté,Non,Attente de réponse client,Faible,client_166@gmail.com
PRJ-0166,Client_167,Projet de service 166,Finalisé,2025-10-09,-42,Terminé,Non,Aucune action,Aucune,client_167@gmail.com
PRJ-0167,Client_168,Projet de service 167,En attente,2025-10-12,-45,Pas encore débuté,Non,Attente de réponse client,Faible,client_168@gmail.com
PRJ-0168,Client_169,Projet de service 168,Suspendu,2025-10-15,-48,Pas encore débuté,Non,Attente de réponse client,Faible,client_169@gmail.com
PRJ-0169,Client_170,Projet de service 169,En cours,2025-10-18,-51,Pas encore débuté,Non,Attente de réponse client,Faible,client_170@gmail.com
PRJ-0170,Client_171,Projet de service 170,Finalisé,2025-10-21,-54,Terminé,Non,Aucune action,Aucune,client_171@gmail.com
PRJ-0171,Client_172,Projet de service 171,En attente,2025-10-24,-57,Pas encore débuté,Non,Attente de réponse client,Faible,client_172@gmail.com
PRJ-0172,Client_173,Projet de service 172,Suspendu,2025-10-27,-60,Pas encore débuté,Non,Attente de réponse client,Faible,client_173@gmail.com
PRJ-0173,Client_174,Projet de service 173,En cours,2025-10-30,-63,Pas encore débuté,Non,Attente de réponse client,Faible,client_174@gmail.com
PRJ-0174,Client_175,Projet de service 174,Finalisé,2025-11-02,-66,Terminé,Non,Aucune action,Aucune,client_175@gmail.com
PRJ-0175,Client_176,Projet de service 175,En attente,2025-11-05,-69,Pas encore débuté,Non,Attente de réponse client,Faible,client_176@gmail.com
PRJ-0176,Client_177,Projet de service 176,Suspendu,2025-11-08,-72,Pas encore débuté,Non,Attente de réponse client,Faible,client_177@gmail.com
PRJ-0177,Client_178,Projet de service 177,En cours,2025-11-11,-75,Pas encore débuté,Non,Attente de réponse client,Faible,client_178@gmail.com
PRJ-0178,Client_179,Projet de service 178,Finalisé,2025-11-14,-78,Terminé,Non,Aucune action,Aucune,client_179@gmail.com
PRJ-0179,Client_180,Projet de service 179,En attente,2025-11-17,-81,Pas encore débuté,Non,Attente de réponse client,Faible,client_180@gmail.com
PRJ-0180,Client_181,Projet de service 180,Suspendu,2025-11-20,-84,Pas encore débuté,Non,Attente de réponse client,Faible,client_181@gmail.com
PRJ-0181,Client_182,Projet de service 181,En cours,2025-11-23,-87,Pas encore débuté,Non,Attente de réponse client,Faible,client_182@gmail.com
PRJ-0182,Client_183,Projet de service 182,Finalisé,2025-11-26,-90,Terminé,Non,Aucune action,Aucune,client_183@gmail.com
PRJ-0183,Client_184,Projet de service 183,En attente,2025-11-29,-93,Pas encore débuté,Non,Attente de réponse client,Faible,client_184@gmail.com
PRJ-0184,Client_185,Projet de service 184,Suspendu,2025-12-02,-96,Pas encore débuté,Non,Attente de réponse client,Faible,client_185@gmail.com
PRJ-0185,Client_186,Projet de service 185,En cours,2025-12-05,-99,Pas encore débuté,Non,Attente de réponse client,Faible,client_186@gmail.com
PRJ-0186,Client_187,Projet de service 186,Finalisé,2025-12-08,-102,Terminé,Non,Aucune action,Aucune,client_187@gmail.com
PRJ-0187,Client_188,Projet de service 187,En attente,2025-12-11,-105,Pas encore débuté,Non,Attente de réponse client,Faible,client_188@gmail.com
PRJ-0188,Client_189,Projet de service 188,Suspendu,2025-12-14,-108,Pas encore débuté,Non,Attente de réponse client,Faible,client_189@gmail.com
PRJ-0189,Client_190,Projet de service 189,En cours,2025-12-17,-111,Pas encore débuté,Non,Attente de réponse client,Faible,client_190@gmail.com
PRJ-0190,Client_191,Projet de service 190,Finalisé,2025-12-20,-114,Terminé,Non,Aucune action,Aucune,client_191@gmail.com
PRJ-0191,Client_192,Projet de service 191,En attente,2025-12-23,-117,Pas encore débuté,Non,Attente de réponse client,Faible,client_192@gmail.com
PRJ-0192,Client_193,Projet de service 192,Suspendu,2025-12-26,-120,Pas encore débuté,Non,Attente de réponse client,Faible,client_193@gmail.com
PRJ-0193,Client_194,Projet de service 193,En cours,2025-12-29,-123,Pas encore débuté,Non,Attente de réponse client,Faible,client_194@gmail.com
PRJ-0194,Client_195,Projet de service 194,Finalisé,2026-01-01,-126,Terminé,Non,Aucune action,Aucune,client_195@gmail.com
PRJ-0195,Client_196,Projet de service 195,En attente,2026-01-04,-129,Pas encore débuté,Non,Attente de réponse client,Faible,client_196@gmail.com
PRJ-0196,Client_197,Projet de service 196,Suspendu,2026-01-07,-132,Pas encore débuté,Non,Attente de réponse client,Faible,client_197@gmail.com
PRJ-0197,Client_198,Projet de service 197,En cours,2026-01-10,-135,Pas encore débuté,Non,Attente de réponse client,Faible,client_198@gmail.com
PRJ-0198,Client_199,Projet de service 198,Finalisé,2026-01-13,-138,Terminé,Non,Aucune action,Aucune,client_199@gmail.com
PRJ-0199,Client_200,Projet de service 199,En attente,2026-01-16,-141,Pas encore débuté,Non,Attente de réponse client,Faible,client_200@gmail.com
PRJ-0200,Client_1,Projet de service 200,Suspendu,2026-01-19,-144,Pas encore débuté,Non,Attente de réponse client,Faible,client_1@gmail.com
PRJ-0201,Client_2,Projet de service 201,En cours,2026-01-22,-147,Pas encore débuté,Non,Attente de réponse client,Faible,aminejemni181@gmail.com
PRJ-0202,Client_3,Projet de service 202,Finalisé,2026-01-25,-150,Terminé,Non,Aucune action,Aucune,client_3@gmail.com
PRJ-0203,Client_4,Projet de service 203,En attente,2026-01-28,-153,Pas encore débuté,Non,Attente de réponse client,Faible,client_4@gmail.com
PRJ-0204,Client_5,Projet de service 204,Suspendu,2026-01-31,-156,Pas encore débuté,Non,Attente de réponse client,Faible,client_5@gmail.com
PRJ-0205,Client_6,Projet de service 205,En cours,2026-02-03,-159,Pas encore débuté,Non,Attente de réponse client,Faible,client_6@gmail.com
PRJ-0206,Client_7,Projet de service 206,Finalisé,2026-02-06,-162,Terminé,Non,Aucune action,Aucune,client_7@gmail.com
PRJ-0207,Client_8,Projet de service 207,En attente,2026-02-09,-165,Pas encore débuté,Non,Attente de réponse client,Faible,client_8@gmail.com
PRJ-0208,Client_9,Projet de service 208,Suspendu,2026-02-12,-168,Pas encore débuté,Non,Attente de réponse client,Faible,client_9@gmail.com
PRJ-0209,Client_10,Projet de service 209,En cours,2026-02-15,-171,Pas encore débuté,Non,Attente de réponse client,Faible,client_10@gmail.com
